,S.No,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive,has_title,Alchemists' Guild,Antler Men,Band of Nine,Black Ears,Blacks,Brave Companions,Brotherhood Without Banners,Brotherhood without Banners,Brotherhood without banners,Burned Men,Chataya's brothel,Citadel,City Watch of King's Landing,Company of the Cat,Drowned men,Faceless Men,Faith of the Seven,Golden Company,Good Masters,Graces,Happy Port,House Allyrion,House Ambrose,House Arryn,House Ashford,House Baelish,House Ball,House Banefort,House Bar Emmon,House Baratheon,House Baratheon of Dragonstone,House Baratheon of King's Landing,House Beesbury,House Belmore,House Bettley,House Blackbar,House Blackberry,House Blackfyre,House Blackmont,House Blacktyde,House Blackwood,House Blanetree,House Blount,House Boggs,House Bolling,House Bolton,House Bolton of the Dreadfort,House Borrell,House Botley,House Bracken,House Brax,House Broom,House Brune of Brownhollow,House Brune of the Dyre Den,House Buckler,House Bulwer,House Bushy,House Butterwell,House Byrch,House Bywater,House Cafferen,House Caron,House Cassel,House Caswell,House Celtigar,House Cerwyn,House Charlton,House Chelsted,House Chester,House Chyttering,House Clegane,House Clifton,House Cockshaw,House Codd,House Coldwater,House Cole,House Condon,House Conklyn,House Connington,House Corbray,House Costayne,House Cox,House Crabb,House Crakehall,House Crane,House Cupps,House Cuy,House Dalt,House Darklyn,House Darry,House Dayne,House Dayne of High Hermitage,House Deddings,House Dondarrion,House Drinkwater,House Drumm,House Dustin,House Egen,House Erenford,House Errol,House Estermont,House Estren,House Farman,House Farring,House Farrow,House Farwynd,House Farwynd of the Lonely Light,House Fell,House Flint,House Flint of Widow's Watch,House Florent,House Foote,House Fossoway,House Fossoway of Cider Hall,House Fossoway of New Barrel,House Fowler,House Frey,House Frey of Riverrun,House Gargalen,House Gaunt,House Glover,House Goodbrook,House Goodbrother,House Goodbrother of Shatterstone,House Gower,House Graceford,House Grafton,House Grandison,House Greenfield,House Greenhill,House Grell,House Greyjoy,House Grimm,House Haigh,House Harclay,House Hardy,House Hardyng,House Harlaw,House Harlaw of Grey Garden,House Harlaw of Harlaw Hall,House Harlaw of Harridan Hill,House Harlaw of the Tower of Glimmering,House Hasty,House Hawick,House Hayford,House Heddle,House Hetherspoon,House Hewett,House Hightower,House Hoare,House Hogg,House Hollard,House Hornwood,House Horpe,House Humble,House Hunt,House Hunter,House Inchfield,House Ironmaker,House Jast,House Jordayne,House Karstark,House Kenning of Harlaw,House Kenning of Kayce,House Kettleblack,House Lannister,House Lannister of Casterly Rock,House Lannister of Lannisport,House Leek,House Lefford,House Leygood,House Liddle,House Locke,House Longthorpe,House Longwaters,House Lonmouth,House Lorch,House Lothston,House Lychester,House Lydden,House Lynderly,House Mallery,House Mallister,House Manderly,House Manwoody,House Marbrand,House Martell,House Massey,House Meadows,House Merlyn,House Merryweather,House Mertyns,House Mollen,House Moore,House Mooton,House Moreland,House Mormont,House Morrigen,House Mudd,House Mullendore,House Myre,House Nayland,House Norcross,House Norrey,House Norridge,House Nymeros Martell,House Oakheart,House Osgrey,House Paege,House Payne,House Peake,House Peckledon,House Pemford,House Penny,House Penrose,House Piper,House Plumm,House Poole,House Potter,House Prester,House Qorgyle,House Rambton,House Redfort,House Redwyne,House Reed,House Reyne,House Rhysling,House Risley,House Roote,House Rosby,House Rowan,House Royce,House Royce of the Gates of the Moon,House Ruttiger,House Ryger,House Rykker,House Ryswell,House Santagar,House Sarsfield,House Sawyer,House Seaworth,House Selmy,House Serry,House Sharp,House Shepherd,House Shett of Gull Tower,House Slynt,House Smallwood,House Sparr,House Spicer,House Stackspear,House Staedmon,House Stark,House Staunton,House Stokeworth,House Stonehouse,House Stonetree,House Stout,House Strickland,House Strong,House Suggs,House Sunderland,House Sunglass,House Swann,House Swyft,House Tallhart,House Targaryen,House Tarly,House Tarth,House Tawney,House Templeton,House Thorne,House Toland,House Tollett,House Toyne,House Trant,House Tully,House Turnberry,House Tyrell,House Tyrell of Brightwater Keep,House Uffering,House Uller,House Umber,House Vaith,House Vance,House Vance of Atranta,House Vance of Wayfarer's Rest,House Varner,House Velaryon,House Vikary,House Volmark,House Vypren,House Vyrwel,House Wagstaff,House Wayn,House Waynwood,House Weaver,House Webber,House Wells,House Westerling,House Whent,House Willum,House Wode,House Woods,House Woolfield,House Wull,House Wylde,House Wynch,House Wythers,House Yarwyck,House Yew,House Yronwood,House of Galare,House of Ghazeen,House of Kandaq,House of Loraq,House of Merreq,House of Pahl,House of Reznak,Iron Bank of Braavos,Khal,Kingdom of the Three Daughters,Kingsguard,Kingswood Brotherhood,Maesters,Mance Rayder,Moon Brothers,Night's Watch,Peach,Pureborn,Queensguard,R'hllor,Sea watch,Second Sons,Stone Crows,Stormcrows,Summer Islands,The Citadel,Thenn,Thirteen,Three-eyed crow,Undying Ones,Unsullied,Windblown,Wise Masters,brotherhood without banners,wildling
945,946,0.204,Bryan Frey,,1,,281.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,0.24,0,0,0,0.100334448,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461,1462,0.971,Aemond Targaryen,Protector of the Realm,1,Valyrian,110.0,130.0,,,,House Targaryen,,0,0,0,0,1,,,,,0,1,0.2,4,1,0,0.311036789,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,1431,0.285,Walder Haigh,,0,,294.0,,,,,House Haigh,,0,1,1,1,0,,,,,0,0,0.11,0,0,0,0.076923077,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1842,1843,0.9059999999999999,Trystane Martell,Prince,1,Dornish,287.0,,,,,House Martell,,1,1,1,1,1,,,,,0,1,0.18,6,1,0,0.150501672,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,1194,0.18600000000000003,Denys Mallister,Ser,1,,245.0,,,,,House Mallister,,1,1,1,1,1,,,,,0,1,0.6,0,0,0,0.130434783,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,896,0.187,Alyn Frey,,1,,295.0,,,,,House Frey,,0,1,1,1,0,,,,,0,0,0.1,0,0,0,0.137123746,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,1928,0.532,Loras Tyrell,Ser,1,The Reach,282.0,,,,,House Tyrell,,1,1,1,1,1,,,,,0,1,0.23,2,1,1,0.665551839,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1867,1868,0.46799999999999997,Jeor Mormont,Bear Island,1,Northmen,230.0,299.0,,,,House Mormont,,1,1,1,1,1,,,,,0,1,0.69,0,0,1,0.618729097,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1683,1684,0.9179999999999999,Davos Seaworth,Ser,1,Westeros,260.0,,,,,House Seaworth,Marya Seaworth,0,1,1,1,1,,,,1.0,1,1,0.45,1,1,1,0.969899666,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,1636,0.799,Arlan of Pennytree,Ser,1,,149.0,209.0,,,,,,0,0,0,0,0,,,,,0,1,0.6,0,0,0,0.10367893,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
